%MJZ Graph Standard
N(675990)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(150014)_V(13)_E(11) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ -1 <= Tw(L(G)) <= 3] , exTime= 0 , Unconnected Graph.
N(1898)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(8541)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(16561)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(28447)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(56751)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(92220)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(92221)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(113891)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(122231)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 2 .
N(243612)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(290523)_V(13)_E(12) , H&W[ 5 <= Tw(L(G)) <= 9] , B&B[ 5 <= Tw(L(G)) <= 5] , exTime= 1 .
N(609817)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(630635)_V(13)_E(12) , H&W[ 5 <= Tw(L(G)) <= 9] , B&B[ 5 <= Tw(L(G)) <= 5] , exTime= 1 .
N(630643)_V(13)_E(12) , H&W[ 5 <= Tw(L(G)) <= 9] , B&B[ 5 <= Tw(L(G)) <= 5] , exTime= 1 .
N(662773)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(665115)_V(13)_E(12) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(4120)_V(13)_E(13) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(4926)_V(13)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
